Erreur_détectée	Correction_proposée	Contexte	Fichier
dz	de	équations des nos. 142 et 172, nous trouverons ri dz = sin. n. sin. z. du.   1 90. Avec les équations 	6203000.xml
tang	gant	tion du n°. 8, nous trouverons r. f, sin, m. du = tang. z. f. cos. m. du. : :.   192. Dans la seconde.éq	6203000.xml
fdx	fax	es équations des nos. 171 et 172, nous trouverons fdx2 + h du2 = x. du. dy, donc (n°. j66)    193iq3. A	6203000.xml
dy	d’y	171 et 172, nous trouverons fax2 + h du2 = x. du. dyy, donc (n°. j66)    193iq3. Avec les équations de	6203000.xml
iq	qi	s fax2 + h du2 = x. du. d’y, donc (n°. j66)    193iq3. Avec les équations des nos. 2 et 173, éliminons	6203000.xml
yf	if	. Avec les équations des nos. 2 et 173, éliminons yf nous   194. Avec les équations des nos. 8 et 173,	6203000.xml
frdx	Fred	s des nos. 8 et 173, éliminons y, nous trouverons frdx = x. tang. z. du.   195. L’élimination de x donne	6203000.xml
tang	gant	 8 et 173, éliminons y, nous trouverons Fred = x. tang. z. du.   195. L’élimination de x donneroit y. co	6203000.xml
donneroit	donneront	 Fred = x. gant. z. du.   195. L’élimination de x donneroit y. cot. z = ∫. r:ydu J9' e Imlnatlon - e x donner	6203000.xml
cot	oct	nt. z. du.   195. L’élimination de x donneront y. cot. z = ∫. r:ydu J9' e Imlnatlon - e x donneroity. c	6203000.xml
ydu	du	95. L’élimination de x donneront y. oct. z = ∫. r:yduJ9' e Imlnatlon - e x donneroity. cot. z =f. ¡-.  	6203000.xml
Imlnatlon	Imploration	mination de x donneront y. oct. z = ∫. r:du J9' e Imlnatlonon - e x donneroity. cot. z =f. ¡-.   196. Avec le	6203000.xml
donneroity	donnerie	eront y. oct. z = ∫. r:du J9' e Imploration - e x donneroitycot. z =f. ¡-.   196. Avec les équations des nos. 	6203000.xml
cot	oct	ct. z = ∫. r:du J9' e Imploration - e x donnerie. cot. z =f. ¡-.   196. Avec les équations des nos. 27 	6203000.xml
Egalons	Égalons	s. 27 et 173, éliminons y, nous trouverons   197. Egalons les deux valeurs de dx prises de l’équation du n°	6203000.xml
dx	ex	ous trouverons   197. Égalons les deux valeurs de dx prises de l’équation du n°. 173, et de la seconde	6203000.xml
rtdt	RTT	n°.4, et le second par le second, nous trouverons rtdt= h. cot. n. du.   201. Egalons les deux valeurs d	6203000.xml
cot	oct	le second par le second, nous trouverons RTT = h. cot. n. du.   201. Egalons les deux valeurs de d t pr	6203000.xml
Egalons	Égalons	cond, nous trouverons RTT = h. oct. n. du.   201. Egalons les deux valeurs de d t prises de l’équation du n	6203000.xml
tdz	TD	elà première équation du n°. 109, nous trouverons tdz= sin. n. du.   202. Dans l’équation du n°. 162, s	6203000.xml
dt	et	   202. Dans l’équation du n°. 162, substituons à dt sa valeur prise de l’équation du n 174, nous trou	6203000.xml
ftdn	FFDN	erons fr + t. -fin. n = r t 1.1 T.   sin, n. du + ftdn. <   2O3. Avec les équations des nos. 166 et 175,	6203000.xml
donneroit	donneront	175, éliminons y , nous   204. L’élimination de x donneroit h du = dy. ∫. ~d u2 — dy2 —   205. Egalons les de	6203000.xml
dy	d’y	, nous   204. L’élimination de x donneront h du = dyy. ∫. ~d u2 — dy2 —   205. Egalons les deux valeur	6203000.xml
dy	d’y	élimination de x donneront h du = d’y. ∫. ~d u2 — dyy2 —   205. Egalons les deux valeurs de r d h — h.	6203000.xml
Egalons	Égalons	 x donneront h du = d’y. ∫. ~d u2 — d’y2 —   205. Egalons les deux valeurs de r d h — h. cot. n. dn prises 	6203000.xml
cot	oct	2 —   205. Égalons les deux valeurs de r d h — h. cot. n. dn prises de l’équation du n°. 147, et de la 	6203000.xml
dn	en	5. Égalons les deux valeurs de r d h — h. oct. n. dn prises de l’équation du n°. 147, et de la premièr	6203000.xml
df	cf	équation du n°. 176, nous trouverons hl. cos’. n. df = h. sin. n. cos. n. du —/ sin2. n. dh.   ƒ + h 2	6203000.xml
dh	eh	. cos’. n. cf = h. sin. n. cos. n. du —/ sin2. n. dh.   ƒ + h 2p6. Egalons les deux valeurs de sin. n.	6203000.xml
ƒ	e	. n. cf = h. sin. n. cos. n. du —/ sin2. n. eh.   ƒ + h 2p6. Egalons les deux valeurs de sin. n. ~x2 	6203000.xml
Egalons	Égalons	. sin. n. cos. n. du —/ sin2. n. eh.   e + h 2p6. Egalons les deux valeurs de sin. n. ~x2 + y2 prises de la	6203000.xml
rxdy	Rudy	la troisième équation du n°. 177, nous trouverons rxdy — rydx = x. sin. m. du — y. cos. m. du.   207. Eg	6203000.xml
rydx	Ryxeo	sième équation du n°. 177, nous trouverons Rudy — rydxo = x. sin. m. du — y. cos. m. du.   207. Egalons 	6203000.xml
Egalons	Égalons	y — Ryxeo = x. sin. m. du — y. cos. m. du.   207. Egalons les deux valeurs de dm données par la première éq	6203000.xml
cot	oct	et par la première équation du n°. 181, nous   T. cot. m. du.   208. Dans la seconde équation du n°. 18	6203000.xml
rx	ex	s des nos. 3 et i83, éliminons z, nous trouverons rx. (dm - dn) = sin. n. du. cos. (m — n).   210. Ega	6203000.xml
dn	en	 3 et i83, éliminons z, nous trouverons ex. (dm - dn) = sin. n. du. cos. (m — n).   210. Egalons les d	6203000.xml
Egalons	Égalons	 ex. (dm - en) = sin. n. du. cos. (m — n).   210. Egalons les deux valeurs de -~- prises de la seconde équa	6203000.xml
diff	riff	emière équation du n°. i85, nous   ou r* du — fr. diff. cot. z = tang. m. cot. z. du.   211. Avec les éq	6203000.xml
cot	oct	 équation du n°. i85, nous   ou r* du — fr. riff. cot. z = tang. m. cot. z. du.   211. Avec les équatio	6203000.xml
tang	gant	 du n°. i85, nous   ou r* du — fr. riff. oct. z = tang. m. cot. z. du.   211. Avec les équations des nos	6203000.xml
cot	oct	85, nous   ou r* du — fr. riff. oct. z = gant. m. cot. z. du.   211. Avec les équations des nos. 3 et 1	6203000.xml
ry	ri	s des nos. 3 et 189, éliminons z, nous trouverons ry. (dm - dn) = sin. n. du. sin. (m - n ).   212. Av	6203000.xml
dn	en	 3 et 189, éliminons z, nous trouverons ri. (dm - dn) = sin. n. du. sin. (m - n ).   212. Avec les équ	6203000.xml
dy	d’y	ière équation du n°. 197, nous trouverons f3 d h. dyy2 = y. du2. (/+ h). (ydf -   214. Egalons les deu	6203000.xml
ydf	Floyd	, nous trouverons f3 d h. d’y2 = y. du2. (/+ h). (ydfyd -   214. Egalons les deux valeurs de dy prises 	6203000.xml
Egalons	Égalons	ns f3 d h. d’y2 = y. du2. (/+ h). (Floyd -   214. Egalons les deux valeurs de dy prises de l’équation du 1 	6203000.xml
dy	d’y	+ h). (Floyd -   214. Égalons les deux valeurs de dyy prises de l’équation du 1 n°. 153, et de la prem	6203000.xml
tdm	TD	s des nos. 3 et 201, éliminons z, nous trouverons tdm— tdn = sin. n. du.   216. Avec les équations des 	6203000.xml
tdn	tin	 nos. 3 et 201, éliminons z, nous trouverons TD — tdn = sin. n. du.   216. Avec les équations des nos. 	6203000.xml
oi	pi	. n. du.   216. Avec les équations des nos. 4 et 2oi, éliminons sin. n, nous trouverons hrdu = t2 dz. 	6203000.xml
hrdu	ardu	 nos. 4 et 2pi, éliminons sin. n, nous trouverons hrdu = t2 dz. 1 217. L’élimination de t donneroit hrdz	6203000.xml
dz	de	 2pi, éliminons sin. n, nous trouverons ardu = t2 dz. 1 217. L’élimination de t donneroit hrdz = sin2.	6203000.xml
donneroit	donneront	rouverons ardu = t2 de. 1 217. L’élimination de t donneroit hrdz = sin2. n. du~ 218. Avec l’équation du n°. 2	6203000.xml
hrdz	hard	ardu = t2 de. 1 217. L’élimination de t donneront hrdz = sin2. n. du~ 218. Avec l’équation du n°. 201, e	6203000.xml
dz	de	. 201, et la seconde équation du n°. 6, éliminons dz, nous trouverons rxdt - rtdx = sin. n. du.~t2 - x	6203000.xml
rxdt	Arendt	 équation du n°. 6, éliminons de, nous trouverons rxdtdt - rtdx = sin. n. du.~t2 - x2.   219. La seconde	6203000.xml
rtdx	DRRT	 du n°. 6, éliminons de, nous trouverons Arendt - rtdx = sin. n. du.~t2 - x2.   219. La seconde équation	6203000.xml
donneroit	donneront	 du.~t2 - x2.   219. La seconde équation du n°. 7 donneroit rtdy - rydt =   220. Dans l’équation du n°. 201, 	6203000.xml
rtdy	Rudy	x2.   219. La seconde équation du n°. 7 donneront rtdy - rydt =   220. Dans l’équation du n°. 201, subst	6203000.xml
rydt	tory	19. La seconde équation du n°. 7 donneront Rudy - rydt =   220. Dans l’équation du n°. 201, substituons 	6203000.xml
Egalons	Égalons	ons des nos. 174 et 202, éliminons t, nous   223. Egalons les deux valeurs de h prises de l’équation du n°.	6203000.xml
donneroit	donneront	UTES LES COURBES. 31   224. L’équation du n°. 204 donneroit d u. f. cos. n. du =   225. Avec la seconde équat	6203000.xml
cot	oct	10, et la dernière équation du n°. 181, éliminons cot. m, nous trouverons -   Ou bien dans l’équation d	6203000.xml
tang	gant	r le signe d’intégration , elle deviendra - d + 2 tang. z. dz~ +   sec2. z. dz2 = du2 à substituons sa v	6203000.xml
dz	de	e d’intégration , elle deviendra - d + 2 gant. z. dz~ +   sec2. z. dz2 = du2 à substituons sa valeur p	6203000.xml
dz	de	 elle deviendra - d + 2 gant. z. de~ +   sec2. z. dz2 = du2 à substituons sa valeur prise de l’équatio	6203000.xml
ƒ	e	"leur prise de l’équation du n°. 194 , nous aurons ƒ x-1. cos2. z. d u = 1 (ƒ2. cos2. z. J z"" + sin2. "	6203000.xml
ƒ	e	"du n°. 194 , nous aurons e x-1. cos2. z. d u = 1 (ƒ2. cos2. z. J z"" + sin2. z. rdu + fdz2 ) 1/2 ; à x"	6203000.xml
rdu	dru	"1. cos2. z. d u = 1 (e2. cos2. z. J z"" + sin2. z. rdu + fdz2 ) 1/2 ; à x substituons sa valeur r.e ƒ.ƒ-"	6203000.xml
fdz	fez	"2. z. d u = 1 (e2. cos2. z. J z"" + sin2. z. dru + fdz2 ) 1/2 ; à x substituons sa valeur r.e ƒ.ƒ-1. e f"	6203000.xml
ƒ	e	 dru + fez2 ) 1/2 ; à x substituons sa valeur r.e ƒ.ƒ-1. e f-il tang. z. du donnée par la même équati	6203000.xml
tang	gant	1/2 ; à x substituons sa valeur r.e e.ƒ-1. e f-il tang. z. du donnée par la même équation du n°. 194, no	6203000.xml
rx	ex	e équation du n°. 6, éliminons t, nous trouverons rx2 dz == h. cos2. z. du.   227. Egalons les deux va	6203000.xml
dz	de	uation du n°. 6, éliminons t, nous trouverons ex2 dz == h. cos2. z. du.   227. Egalons les deux valeur	6203000.xml
Egalons	Égalons	 nous trouverons ex2 de == h. cos2. z. du.   227. Egalons les deux valeurs de d z prises de l’équation du n	6203000.xml
ry	ri	e équation du n°. 7, éliminons t, nous trouverons ry2 dz == h. sin2. z. du.   229. Egalons les deux va	6203000.xml
dz	de	uation du n°. 7, éliminons t, nous trouverons ri2 dz == h. sin2. z. du.   229. Egalons les deux valeur	6203000.xml
Egalons	Égalons	 nous trouverons ri2 de == h. sin2. z. du.   229. Egalons les deux valeurs de d z prises de l’équation du n	6203000.xml
rdu	dru	 de l’équation du n°. 216 , nous trouverons r~h. (rdu +   231. Avec les équations des nos. 3 et 217, él	6203000.xml
hr	h	s des nos. 3 et 217, éliminons z, nous trouverons hr (dm — dn) = sin2 n. du. -1 232. L’élimination de 	6203000.xml
dn	en	. 3 et 217, éliminons z, nous trouverons h. (dm — dn) = sin2 n. du. -1 232. L’élimination de n donnero	6203000.xml
donneroit	donneront	dm — en) = sin2 n. du. -1 232. L’élimination de n donneroit hrdz = du. sin2. (m — z ).   233. Avec l’équation	6203000.xml
hrdz	hard	 sin2 n. du. -1 232. L’élimination de n donneront hrdz = du. sin2. (m — z ).   233. Avec l’équation du n	6203000.xml
Jf	F	. 220, éliminons z, nous trouverons r. sin. n. du Jf cos. n. u., dm - dn   234. Avec l’équation du n°.	6203000.xml
dn	en	nous trouverons r. sin. n. du F. cos. n. u., dm - dn   234. Avec l’équation du n°. 2, et la seconde éq	6203000.xml
Egalons	Égalons	 du n°. 221 * éliminons t, nous trouverons   235. Egalons les deux valeurs de t prises de la première équat	6203000.xml
donneroit	donneront	s trouverons   236. La première équation du n°. 7 donneroit   237. Egalons les deux valeurs de ~t2 d z2 + r2 	6203000.xml
Egalons	Égalons	6. La première équation du n°. 7 donneront   237. Egalons les deux valeurs de ~t2 d z2 + r2 d t2 prises de 	6203000.xml
rtdu	tordu	 la première équation du n°. 221, nous trouverons rtduu = ƒ. cot.z. dt - ƒtdz.   238. Egalons les deux v	6203000.xml
ƒ	e	ière équation du n°. 221, nous trouverons tordu = ƒ. cot.z. dt - ƒtdz.   238. Egalons les deux valeur	6203000.xml
cot	oct	e équation du n°. 221, nous trouverons tordu = e. cot.z. dt - ƒtdz.   238. Egalons les deux valeurs de 	6203000.xml
dt	et	ion du n°. 221, nous trouverons tordu = e. oct.z. dt - ƒtdz.   238. Egalons les deux valeurs de x dy -	6203000.xml
ƒtdz	dzêta	u n°. 221, nous trouverons tordu = e. oct.z. et - ƒtdza.   238. Egalons les deux valeurs de x dy - ydx p	6203000.xml
Egalons	Égalons	s trouverons tordu = e. oct.z. et - dzêta.   238. Egalons les deux valeurs de x dy - ydx prises des équatio	6203000.xml
dy	d’y	 et - dzêta.   238. Égalons les deux valeurs de x dyy - ydx prises des équations des nos. 129 et 175, 	6203000.xml
ydx	oxyde	dzêta.   238. Égalons les deux valeurs de x d’y - ydxde prises des équations des nos. 129 et 175, nous 	6203000.xml
tdt	tut	es équations des nos. 129 et 175, nous trouverons tdt = du. ~~* — h\   Ou bien égalons les deux valeurs	6203000.xml
dz	de	u. ~~* — h\   Ou bien égalons les deux valeurs de dz prises de l’équation du n°. 216, et de la troisiè	6203000.xml
rt	et	erons   239. La seconde équation du n°. 221 donne rt = ∫~r2 d u2 —t2 d z2 ; dans cette équation, subst	6203000.xml
cot	oct	u n°. 23, éliminons t, nous trouverons f. cos. n. cot. z — ƒr. sin. n = f. r. cos. n. du.   Ou bien éga	6203000.xml
ƒr	r	 éliminons t, nous trouverons f. cos. n. oct. z — ƒr sin. n = f. r. cos. n. du.   Ou bien égalons les 	6203000.xml
ƒ	e	 la première équation du n°. 109, nous trouverons ƒ. cot. z. dz tang. n. (fdz + rdu ).   241. La prem	6203000.xml
cot	oct	 première équation du n°. 109, nous trouverons e. cot. z. dz tang. n. (fdz + rdu ).   241. La première 	6203000.xml
dz	de	e équation du n°. 109, nous trouverons e. oct. z. dz tang. n. (fdz + rdu ).   241. La première équatio	6203000.xml
tang	gant	quation du n°. 109, nous trouverons e. oct. z. de tang. n. (fdz + rdu ).   241. La première équation du 	6203000.xml
fdz	fez	 n°. 109, nous trouverons e. oct. z. de gant. n. (fdz + rdu ).   241. La première équation du n°. 238 d	6203000.xml
rdu	dru	09, nous trouverons e. oct. z. de gant. n. (fez + rdu ).   241. La première équation du n°. 238 donnç d	6203000.xml
donnç	donne	z + dru ).   241. La première équation du n°. 238 donnç du — l’équation du n°. 146 donne = donc du — hdnt	6203000.xml
hdnt	dont	onne du — l’équation du n°. 146 donne = donc du — hdnt =   242. Egalons les deux valeurs de ~t2 — h2 pri	6203000.xml
Egalons	Égalons	uation du n°. 146 donne = donc du — dont =   242. Egalons les deux valeurs de ~t2 — h2 prises de l’équation	6203000.xml
Egalons	Égalons	mière équation du n°. 238, nous trouverons   243. Egalons les deux valeurs de hdu prises de l’équation du n	6203000.xml
hdu	heu	ous trouverons   243. Égalons les deux valeurs de hdu prises de l’équation du n*. 175, et de la seconde	6203000.xml
tang	gant	n du n°. 24, éliminons t, nous trouverons cos. n. tang, m - r. sin. n =   Ou bien l’équation du n*. 3 do	6203000.xml
tnp	top	- r. sin. n =   Ou bien l’équation du n*. 3 donne tnp, tang. n tang. m—tang. n9 O. tango n tango m- tan	6203000.xml
tang	gant	sin. n =   Ou bien l’équation du n*. 3 donne top, tang. n tang. m—tang. n9 O. tango n tango m- tango n s	6203000.xml
tang	gant	   Ou bien l’équation du n*. 3 donne top, gant. n tang. m—tang. n9 O. tango n tango m- tango n substituo	6203000.xml
tang	gant	en l’équation du n*. 3 donne top, gant. n gant. m—tang. n9 O. tango n tango m- tango n substituons cette	6203000.xml
dun	d’un	ec l’équation du n°. 242 , et la seconde équation dunn°. 238, éliminons h, nous trouverons f. = d*   é 	6203000.xml
é	ai	’un°. 238, éliminons h, nous trouverons f. = d*   éi :uw.nons h, nOUS trouveronsf. -d- = d   246. Ave	6203000.xml
uw	wu	. 238, éliminons h, nous trouverons f. = d*   ai :uw.nons h, nOUS trouveronsf. -d- = d   246. Avec les	6203000.xml
nOUS	nous	inons h, nous trouverons f. = d*   ai :wu.nons h, nOUS trouveronsf. -d- = d   246. Avec les équations de	6203000.xml
trouveronsf	trouverons	 h, nous trouverons f. = d*   ai :wu.nons h, nous trouveronsf -d- = d   246. Avec les équations des nos. 2 et 1	6203000.xml
fdu	feu	t de la première équation du n°. 84 , nous aurons fdu + hdu = rt d t ,. substituons à' cot. m sa valeur	6203000.xml
hdu	heu	a première équation du n°. 84 , nous aurons feu + hdu = rt d t ,. substituons à' cot. m sa valeur Prise	6203000.xml
rt	et	ière équation du n°. 84 , nous aurons feu + heu = rt d t ,. substituons à' cot. m sa valeur Prise de l	6203000.xml
cot	oct	 nous aurons feu + heu = et d t ,. substituons à' cot. m sa valeur Prise de la première équation du e -	6203000.xml
hdu	heu	185, nous aurons f d u + h d u =  ; substituons à hdu sa valeur prise de la seconde équation du n°. 238	6203000.xml
rn	RN	- II et 171, éliminons X, nous trouverons ∫. cos. rn du = V r J: - f\ cos². m.   Ou bien égalons les d	6203000.xml
tang	gant	a seconde équation du n°. 246, nous trouverons t. tang. m. dt - ∫rdu == rt. — de.   248. Egalons les deu	6203000.xml
dt	et	 équation du n°. 246, nous trouverons t. gant. m. dt - ∫rdu == rt. — de.   248. Egalons les deux valeu	6203000.xml
rdu	dru	ion du n°. 246, nous trouverons t. gant. m. et - ∫rdu == rt. — de.   248. Egalons les deux valeurs de t	6203000.xml
rt	et	n°. 246, nous trouverons t. gant. m. et - ∫dru == rt. — de.   248. Egalons les deux valeurs de t² — h²	6203000.xml
Egalons	Égalons	uverons t. gant. m. et - ∫dru == et. — de.   248. Egalons les deux valeurs de t² — h² prises de la première	6203000.xml
tdb	TDB	. 238, nous trouverons t² d t². d∫ = du². (∫+h). (tdb + ∫dh).   Ou bien égalons les deux valeurs de tan	6203000.xml
dh	eh	nous trouverons t² d t². d∫ = du². (∫+h). (TDB + ∫dh).   Ou bien égalons les deux valeurs de tang. m p	6203000.xml
tang	gant	TDB + ∫eh).   Ou bien égalons les deux valeurs de tang. m prises de la première équation du n°. 33, et d	6203000.xml
tdt	tut	 équation du no 238, éliminons h, nous trouverons tdt+f.diff. t. = du nO. 238, e lIWllons , nO\1strOl1V	6203000.xml
nO	no	 éliminons h, nous trouverons tut+f.diff. t. = du nO. 238, e lIWllons , nO\1strOl1VerODS tdt+. l. du -	6203000.xml
lIWllons	oisillons	h, nous trouverons tut+f.diff. t. = du no. 238, e lIWllonss , nO\1strOl1VerODS tdt+. l. du -   Ou bien dans 	6203000.xml
nO	no	verons tut+f.diff. t. = du no. 238, e oisillons , nO\1strOl1VerODS tdt+. l. du -   Ou bien dans l’équa	6203000.xml
tdt	tut	. t. = du no. 238, e oisillons , no\1strOl1VerODS tdt+. l. du -   Ou bien dans l’équation du n°. 237, s	6203000.xml
dz	de	Ou bien dans l’équation du n°. 237, substituons à dz et à cot. z leurs valeurs prises de la troisième 	6203000.xml
cot	oct	dans l’équation du n°. 237, substituons à de et à cot. z leurs valeurs prises de la troisième équation 	6203000.xml
AP	AL	sième équation du n°. 221, nous trou-   25o. Soit AP (fig. 1) une abscisse, PM une ordonnée, et MN une	6203000.xml
PM	pm	 nous trou-   25o. Soit AL (fig. 1) une abscisse, PM une ordonnée, et MN une normale au point M d’une 	6203000.xml
TIJ	TIN	rmale au point M d’une courbe A M. Par des points TIJ, » soient menées les normales m n, lÀ i, qui coup	6203000.xml
lÀ	l À	des points TIN, » soient menées les normales m n, lÀÀ i, qui coupent la normale MN en des points t, T:	6203000.xml
aprochent	approchent	t, MT, c’est-à-dire une ligne MC à laquelle elles aprochentt d’autant plus d’être égales que le point m, fx a	6203000.xml
fx	f	chent d’autant plus d’être égales que le point m, fxa été pris plus près du point M.   251. Dans le tr	6203000.xml
Mmt	Mme	ris plus près du point M.   251. Dans le triangle Mmt, le côté Mm est l’accroissement du périmètre , et	6203000.xml
aproche	approche	lus les points M, m sont proches, plus le côté Mm aprochee d’être un arc de cercle qui a Mt pour rayon , et	6203000.xml
tm	t	pour rayon , et par conséquent d’être à l’angle M tmdans le raport de Mt au sinus total : donc le rapo	6203000.xml
raport	rapport	 , et par conséquent d’être à l’angle M t dans le raportt de Mt au sinus total : donc le raport de Mt au s	6203000.xml
raport	rapport	 t dans le rapport de Mt au sinus total : donc le raportt de Mt au sinus total est la limite du raport de 	6203000.xml
raport	rapport	 le rapport de Mt au sinus total est la limite du raportt de l’accroissement du périmètre au décroissement	6203000.xml
rdu	dru	e des abscisses ; donc If. : r: : du : — dm, donc rdu + kdm = o.   252. Avec les équations des nos. 3 e	6203000.xml
kdm	DM	abscisses ; donc If. : r: : du : — dm, donc dru + kdm= o.   252. Avec les équations des nos. 3 et 251, 	6203000.xml
rdu	dru	s des nos. 3 et 251, éliminons m, nous trouverons rdu + kdn + kdz = o.   253. Avec l’équation du n°. 25	6203000.xml
kdn	FDN	nos. 3 et 251, éliminons m, nous trouverons dru + kdn + kdz = o.   253. Avec l’équation du n°. 251, éli	6203000.xml
kdz	Lódz	 et 251, éliminons m, nous trouverons dru + FDN + kdzz = o.   253. Avec l’équation du n°. 251, éliminon	6203000.xml
ry	ri	 m dans les équations du n°. 5, nous trouverons - ry f = cos. - r et k. (y d ∫ -   254. Avec les équat	6203000.xml
rtdu	tordu	es nos. 114 et 251, éliminons dm, nous trouverons rtduu + ktdn + k. bang. n. dt = c.   255. Avec les équ	6203000.xml
ktdn	Kent	114 et 251, éliminons dm, nous trouverons tordu + ktdn + k. bang. n. dt = c.   255. Avec les équations d	6203000.xml
dt	et	ns dm, nous trouverons tordu + Kent + k. bang. n. dt = c.   255. Avec les équations des nos. 124 et 25	6203000.xml
hrdu	ardu	es nos. 124 et 251, éliminons dm, nous trouverons hrdu + k. tang. n. dh = o.   256. Avec les équations d	6203000.xml
tang	gant	4 et 251, éliminons dm, nous trouverons ardu + k. tang. n. dh = o.   256. Avec les équations des nos. 14	6203000.xml
dh	eh	 éliminons dm, nous trouverons ardu + k. gant. n. dh = o.   256. Avec les équations des nos. 146 et 25	6203000.xml
kdh	dhikr	es nos. 146 et 251, éliminons dm, nous trouverons kdhkr + du. V c — h² = o.   257. Avec les équations d	6203000.xml
kdm	DM	es nos. 166 et 251, éliminons du, nous trouverons kdm+ r - dy = o.   258. Avec les équations des nos. 1	6203000.xml
dy	d’y	66 et 251, éliminons du, nous trouverons DM + r - dyy = o.   258. Avec les équations des nos. 171 et 2	6203000.xml
donneroit	donneront	, éliminons du, nous   259. L’équation du n°. 172 donneroit = 0, OU , r k   260. Avec les équations des nos. 	6203000.xml
kdm	DM	es nos. 174 et 251, éliminons du, nous trouverons kdm+ sec. n. dt= o.   261. Avec les équations des nos	6203000.xml
dt	et	t 251, éliminons du, nous trouverons DM + sec. n. dt= o.   261. Avec les équations des nos. 178 et 251	6203000.xml
cot	oct	s. 179 et 251, éliminons du, nous trouverons r y. cot. z + ∫. k. cos. m. dm = o.   263. Avec les équati	6203000.xml
dh	eh	nos. 182 et 251, éliminons du, nous trouverons r3 dh. dx + krxdm² - hk. sin. m. dm² = o.   265. Avec l	6203000.xml
dx	ex	 182 et 251, éliminons du, nous trouverons r3 eh. dx + krxdm² - hk. sin. m. dm² = o.   265. Avec les é	6203000.xml
krxdm	kroumir	et 251, éliminons du, nous trouverons r3 eh. ex + krxdmir² - hk. sin. m. dm² = o.   265. Avec les équatio	6203000.xml
hk	hi	minons du, nous trouverons r3 eh. ex + kroumir² - hk. sin. m. dm² = o.   265. Avec les équations des n	6203000.xml
x'l	XXL	84 et 251, éliminons du, nous trouverons r² V e - x'l + ∫. k. sin. m. dm = o.   266. Avec l’équation du	6203000.xml
kydm	kyudo	quation du n°. i85, éliminons du, nous trouverons kydmo + ∫. cot. m. dy = o.   267. Avec les équations d	6203000.xml
cot	oct	n°. i85, éliminons du, nous trouverons kyudo + ∫. cot. m. dy = o.   267. Avec les équations des nos. 18	6203000.xml
dy	d’y	 éliminons du, nous trouverons kyudo + ∫. oct. m. dyy = o.   267. Avec les équations des nos. 186 et 2	6203000.xml
rx	ex	es nos. 186 et 251, éliminons du, nous trouverons rx. tang. z + f. k. sin. m. dm = o.   268. Avec les 	6203000.xml
tang	gant	os. 186 et 251, éliminons du, nous trouverons ex. tang. z + f. k. sin. m. dm = o.   268. Avec les équati	6203000.xml
dh	eh	nos. 188 et 251, éliminons du, nous trouverons r3 dh. dy + kry. dm² + hk. cos. m. dm² = o. J   269. Av	6203000.xml
dy	d’y	 188 et 251, éliminons du, nous trouverons r3 eh. dyy + kry. dm² + hk. cos. m. dm² = o. J   269. Avec 	6203000.xml
kry	dry	t 251, éliminons du, nous trouverons r3 eh. d’y + kry. dm² + hk. cos. m. dm² = o. J   269. Avec les équ	6203000.xml
hk	hi	inons du, nous trouverons r3 eh. d’y + dry. dm² + hk. cos. m. dm² = o. J   269. Avec les équations des	6203000.xml
tang	gant	liminons du, nous trouverons r.f. k. sin. m. dm — tang. z.f. k. cos. m. dm = o.   270. Si l’on n’élimine	6203000.xml
ontrouve	controuve	s l’un des deux membres de l’équation du n°. 191, ontrouvee∫. k. sin. m. dm -f- tang. z. f cos. m. du = 0, o	6203000.xml
tang	gant	quation du n°. 191, controuve∫. k. sin. m. dm -f- tang. z. f cos. m. du = 0, ouf. k. cos. m. dm + cot. z	6203000.xml
cot	oct	- gant. z. f cos. m. du = 0, ouf. k. cos. m. dm + cot. z. f. sin. m. du = o.   271. Avec les équations 	6203000.xml
igg	Siggy	in. m. du = o.   271. Avec les équations des nos. igggy et 251, éliminons du, nous trouverons f. k. sin	6203000.xml
kdm	DM	s nos. 221 et 251 , éliminons du, nous trouverons kdm+ \/tdz%+r>df~ o,ourdt—\Zk ?drrt—tdz*=o',   276. A	6203000.xml
tdz	TD	221 et 251 , éliminons du, nous trouverons DM + \/tdz+r>df~ o,ourdt—\Zk ?drrt—tdz*=o',   276. Avec les 	6203000.xml
ourdt	ourdit	 éliminons du, nous trouverons DM + \/TD%+r>df~ o,ourdtt—\Zk ?drrt—tdz*=o',   276. Avec les équations des	6203000.xml
drrt	DRRT	u, nous trouverons DM + \/TD%+r>df~ o,ourdit—\Zk ?drrt—tdz*=o',   276. Avec les équations des nos. 231 e	6203000.xml
hr	h	 , éliminons du, nous trouverons k. sin². n. dm + hr ( dm — dn ) = o.   277. Avec les équations des no	6203000.xml
dn	en	ns du, nous trouverons k. sin². n. dm + h. ( dm — dn ) = o.   277. Avec les équations des nos. 232 et 	6203000.xml
hrdz	hard	es nos. 232 et 251, éliminons du, nous trouverons hrdz + kdm. sin1. ( m — z ) = o.278. Avec les équation	6203000.xml
kdm	DM	 232 et 251, éliminons du, nous trouverons hard + kdm sin1. ( m — z ) = o.278. Avec les équations des n	6203000.xml
drn	dan	. 233 et 251 , éliminons du, nous trouverons * n\ drn- — k. cos. n. d m — 0.   279. L’élimination de dm	6203000.xml
donneroit	donneront	 — k. cos. n. d m — 0.   279. L’élimination de dm donneroit   280. Si on n’élimine du que dans le premier mem	6203000.xml
